"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"309747","2.91003902","5.2347E-4","0.343638","0.74809843","150","9","false","51729","173.12666667","150","0","0","0.85307392","false","0","51729","3007664","0.0569133"
"309748","3.10646759","0.0","0.32190904","1.0","129","10","false","79228","176.90697674","129","0","0","0.83796403","false","0","79228","0","0.10974378"
"309750","2.81565126","0.008274","0.35515762","0.00589826","313","9","false","125115","32.62619808","313","0","0","0.86033452","false","0","125115","50500824","0.00940696"
"309751","3.17406963","2.0082E-4","0.31505295","0.09411765","35","9","false","79165","101.74285714","35","0","0","0.83276387","false","0","79165","1349466","0.05960909"
"309753","3.06865246","1.4148E-4","0.32587594","0.15615616","37","9","false","2177","88.51351351","37","0","0","0.84087289","false","0","2177","676532","0.0464496"
"309754","2.61044418","0.0144571","0.38307657","0.02940941","390","9","false","4609","75.13917526","389","0","0","0.87611968","false","1","4609","70459276","0.01331318"
"309756","3.06069928","2.61E-5","0.32672272","0.97134469","131","9","false","11017","176.70992366","131","0","0","0.84148467","false","0","11017","204020","0.09736084"
"309757","2.93284814","4.6883E-4","0.34096549","0.60908724","173","9","false","6427","157.8265896","173","0","0","0.85131937","false","0","6427","3223004","0.05514152"
"309759","3.11427071","0.00102337","0.32110246","0.02908514","64","9","false","10567","38.90322581","63","0","0","0.83736379","false","1","10567","3853316","0.02475186"
"309760","3.42406963","1.079E-5","0.29205014","0.14285714","7","9","false","123920","74.57142857","7","0","0","0.81353311","false","0","123920","41628","0.15195072"
"309762","3.00622749","2.5353E-4","0.33264282","0.81789044","144","9","false","1153","168.33333333","144","0","0","0.84567481","false","0","1153","1380214","0.07487829"
"309763","2.97171369","2.1521E-4","0.33650617","0.63843741","168","9","false","9589","157.23809524","168","0","0","0.84832972","false","0","9589","1478316","0.06271725"
"309765","2.56595138","0.0107842","0.389719","0.03020808","315","8","false","1457","69.67412141","314","0","0","0.8795422","false","1","1457","46312538","0.01139238"
"309766","3.05379652","1.263E-5","0.32746124","0.29487179","13","9","false","2287","261.69230769","13","0","0","0.84201565","false","0","2287","186452","0.11807605"
"309768","3.3982593","2.109E-5","0.2942683","0.11111111","11","8","false","4607","78.44444444","10","0","0","0.81551852","false","1","4607","100564","0.12828947"
"309769","3.12927671","3.8329E-4","0.31956266","0.02995169","48","9","false","84676","46.13043478","47","0","0","0.83620948","false","1","84676","1410148","0.0310812"
"309771","2.99887455","4.661E-4","0.33345843","0.18367347","49","9","false","4678","103.87755102","49","0","0","0.84624042","false","0","4678","2144526","0.04120536"
"309772","3.01988295","9.705E-5","0.33113866","0.13954802","60","9","false","8357","91.53333333","60","0","0","0.84462439","false","0","8357","1370096","0.03854254"
"309774","2.70648259","0.00555097","0.36948326","0.05199063","247","9","false","5295","61.82857143","246","0","0","0.86873211","false","1","5295","23706826","0.01301649"
"309775","3.25772809","3.384E-5","0.30696239","0.17582418","16","9","false","7098","106.21428571","15","0","0","0.82632861","false","1","7098","147584","0.09700419"
"309777","3.03301321","2.033E-4","0.32970513","0.1657754","34","9","false","4141","130.82352941","34","0","0","0.84361437","false","0","4141","1066638","0.05750253"
"309778","3.03751501","3.7093E-4","0.32921648","0.02497687","49","9","false","7030","84.40425532","48","0","0","0.84326808","false","1","7030","1701874","0.04028668"
"309780","2.74602341","0.00243729","0.36416296","0.24977018","150","8","false","10399","135.97297297","149","0","0","0.86569051","false","1","10399","12688066","0.03078418"
"309781","3.56677671","4.03E-6","0.28036518","0.0","8","9","false","6531","62.16666667","7","0","0","0.80255564","false","1","6531","17010","0.17990196"
"309783","3.18487395","1.064E-5","0.31398417","0.20588235","19","9","false","26191","132.41176471","18","0","0","0.83193277","false","1","26191","85906","0.08890734"
"309784","2.90853842","9.651E-4","0.3438153","0.04187947","91","9","false","5170","72.56179775","90","0","0","0.85318935","false","1","5170","4152132","0.02447711"
"309786","3.02498499","3.8648E-4","0.33058015","0.51072904","125","9","false","27316","144.82926829","124","0","0","0.84423192","false","1","27316","2462212","0.06791592"
"309787","2.95565726","2.8874E-4","0.33833422","0.67835796","175","9","false","9939","163.71428571","175","0","0","0.84956483","false","0","9939","2099340","0.0637969"
"309789","2.78661465","8.6747E-4","0.35885837","0.37798214","125","9","false","10128","157.0","124","0","0","0.8625681","false","1","10128","5414396","0.03846644"
"309790","2.83290816","3.2719E-4","0.35299415","0.54872996","183","9","false","6146","181.78142077","183","0","0","0.85900706","false","0","6146","3178806","0.05121892"
"309792","3.06722689","1.9026E-4","0.3260274","0.91354339","135","9","false","51755","172.31111111","135","0","0","0.84098255","false","0","51755","1067092","0.09193249"
"309793","3.02303421","1.4116E-4","0.33079348","0.84964539","141","9","false","6434","171.0","141","0","0","0.84438198","false","0","6434","922202","0.07875575"
"309795","3.30522209","1.9E-6","0.30255153","0.66666667","3","9","false","221692","375.33333333","3","0","0","0.82267522","false","0","221692","16528","0.34688848"
"309796","2.83643457","0.00320174","0.35255529","0.02871755","126","9","false","58","59.98387097","125","0","0","0.8587358","false","1","58","11506660","0.01641943"
"309798","3.37897659","1.0254E-4","0.2959476","0.17857143","8","9","false","27230","88.0","8","0","0","0.8170018","false","0","27230","392260","0.1443575"
"309799","3.09618848","2.0599E-4","0.32297775","0.09365079","36","9","false","3337","73.27777778","36","0","0","0.83875473","false","0","3337","794574","0.04245801"
"309801","2.59971489","0.00786125","0.38465757","0.04718061","286","9","false","2033","75.17253521","285","0","0","0.87694501","false","1","2033","34600692","0.01292473"
"309802","3.30927371","3.8003E-4","0.30218111","0.03508772","19","10","false","3233","60.0","19","0","0","0.82236356","false","0","3233","1262528","0.06877437"
"309804","3.6107443","2.44E-5","0.27695121","0.03636364","11","9","false","5996","32.54545455","11","0","0","0.79917352","false","0","5996","63894","0.09640209"
"309805","3.19897959","9.144E-5","0.31259968","0.22486772","30","9","false","8666","80.96428571","29","0","0","0.83084772","false","1","8666","400534","0.06157165"
"309807","3.19447779","2.485E-5","0.31304021","0.14705882","19","9","false","5063","107.64705882","18","0","0","0.83119402","false","1","5063","154530","0.07919719"
"309808","2.93870048","2.0714E-4","0.34028647","0.16341463","43","9","false","6853","138.36585366","42","0","0","0.85086919","false","1","6853","1173188","0.0475396"
"309810","2.62845138","0.01322855","0.38045216","0.01889277","340","8","false","5566","49.19230769","339","0","0","0.87473451","false","1","5566","56596888","0.00910581"
"309811","2.85001501","0.00180875","0.35087535","0.05462713","108","8","false","596","71.83962264","107","0","0","0.85769115","false","1","596","7730174","0.02055324"
"309813","3.58793517","1.5405E-4","0.27871184","0.14285714","10","10","false","339","48.625","9","0","0","0.80092806","false","1","339","634738","0.13221154"
"309814","3.73311825","9.6E-7","0.26787258","0.2","5","10","false","387569","58.8","5","0","0","0.78976013","false","0","387569","6394","0.21083032"
"309816","2.87665066","0.00142337","0.3476265","0.4103496","110","9","false","920","137.25","109","0","0","0.85564226","false","1","920","7500106","0.04351441"
"309818","3.30882353","7.2644E-4","0.30222222","0.0854902","53","10","false","217","34.70588235","52","0","0","0.82239819","false","1","217","3141560","0.04403647"
"309819","3.91221489","2.338E-5","0.25560968","0.18095238","15","10","false","84532","40.0","15","0","0","0.77598347","false","0","84532","110476","0.25435244"
"309821","3.57322929","1.74E-6","0.27985889","0.0","2","9","false","10449","224.5","2","0","0","0.80205929","false","0","10449","8034","0.50112108"
"309822","3.42879652","1.0219E-4","0.29164752","0.03571429","8","9","false","6342","87.125","8","0","0","0.8131695","false","0","6342","270900","0.13391473"
"309824","2.92557023","6.8911E-4","0.34181371","0.27318899","87","9","false","5705","84.95402299","87","0","0","0.85187921","false","0","5705","3126730","0.02966972"
"309825","3.31647659","3.193E-5","0.30152482","0.15","18","9","false","8856","78.3125","17","0","0","0.82180949","false","1","8856","134824","0.08914286"
"309827","3.47478992","9.267E-5","0.28778718","0.81077694","57","10","false","4700","59.05263158","57","0","0","0.80963154","false","0","4700","292614","0.12553191"
"309828","3.585009","1.44E-6","0.27893933","0.94992743","53","10","false","4711","58.94339623","53","0","0","0.80115315","false","0","4711","28384","0.24058529"
"309830","3.58673469","1.043E-5","0.27880512","0.14285714","9","10","false","10206","52.85714286","8","0","0","0.80102041","false","1","10206","35204","0.15065681"
"309831","2.96646158","9.4582E-4","0.33710196","0.07982583","55","9","false","396","89.54716981","54","0","0","0.84873372","false","1","396","3395356","0.03285214"
"309833","5.15081032","7.8E-7","0.19414421","0.0","2","11","false","10577","2.5","2","0","0","0.6807069","false","0","10577","738","0.5"
"309834","4.46728691","4.89E-5","0.22384951","0.0","4","10","false","4864","2.5","3","0","0","0.73328562","false","1","4864","107616","0.5"
"309836","2.91671669","0.00122608","0.34285126","0.04223602","70","9","false","5903","73.48571429","70","0","0","0.85256025","false","0","5903","4314894","0.02386856"
"309837","2.82623049","0.00339903","0.35382818","0.03246871","151","9","false","7341","57.4966443","150","0","0","0.85952073","false","1","7341","13557470","0.0157324"
"309839","3.1769958","1.19E-4","0.31476277","0.01976285","23","9","false","2273","100.86956522","23","0","0","0.83253878","false","0","2273","533812","0.07057563"
"309841","2.81977791","5.1782E-4","0.35463786","0.12595129","73","9","false","1027","130.94520548","73","0","0","0.86001708","false","0","1027","3266844","0.03308858"
"309842","2.73596939","0.00289742","0.36550117","0.07463324","119","8","false","10987","102.00840336","119","0","0","0.86646389","false","0","10987","12043930","0.02198653"
"309844","3.66806723","1.429E-5","0.27262314","0.11111111","9","10","false","148","22.0","9","0","0","0.79476406","false","0","148","41190","0.12745098"
"309845","3.02753601","3.0568E-4","0.3303016","0.09280303","33","9","false","84687","110.54545455","33","0","0","0.84403569","false","0","84687","1360358","0.04737937"
"309847","2.84311224","7.2324E-4","0.35172723","0.36988948","228","9","false","2091","161.9254386","228","0","0","0.85822214","false","0","2091","5375870","0.04607635"
"309848","2.90238595","1.4145E-4","0.34454411","0.60122328","173","9","false","6229","181.84971098","173","0","0","0.85366262","false","0","6229","1512706","0.06262042"
"309850","3.61667167","1.623E-5","0.27649731","0.03636364","11","10","false","5083","27.09090909","11","0","0","0.79871756","false","0","5083","58008","0.10984848"
"309851","2.85766807","0.00197241","0.34993567","0.04362677","116","9","false","7088","67.85087719","115","0","0","0.85710246","false","1","7088","8450044","0.02015922"
"309853","2.88355342","6.6488E-4","0.34679434","0.57205311","193","9","false","10291","159.06735751","193","0","0","0.85511128","false","0","10291","4173616","0.05060839"
"309854","2.94717887","2.4739E-4","0.33930754","0.7003944","174","9","false","24148","167.60465116","173","0","0","0.85021701","false","1","24148","1683384","0.06358074"
"309856","2.80867347","2.5559E-4","0.35603996","0.54812947","183","9","false","6217","183.64480874","183","0","0","0.86087127","false","0","6217","3301682","0.04747798"
"309857","2.60856843","0.01312633","0.38335203","0.05314368","443","8","false","7532","83.82086168","442","0","0","0.87626397","false","1","7532","68390414","0.01486181"
"309859","2.87192377","5.2709E-4","0.34819866","0.51697845","208","9","false","9343","160.00970874","207","0","0","0.85600586","false","1","9343","3844830","0.04703116"
"309860","3.07735594","1.534E-5","0.32495429","0.98545021","130","10","false","94104","177.7","130","0","0","0.84020339","false","0","94104","127466","0.09888703"
"309862","3.61892257","2.0634E-4","0.27632534","0.02777778","11","9","false","10083","45.22222222","10","0","0","0.79854442","false","1","10083","712672","0.11514105"
"309863","4.26012905","0.0","0.23473467","1.0","2","10","false","64072","11.0","2","0","0","0.74922084","false","0","64072","0","0.55"
"309865","3.03541417","1.7948E-4","0.32944433","0.10909091","45","8","false","6688","88.62222222","45","0","0","0.84342968","false","0","6688","892246","0.04223919"
"309866","3.57593037","1.889E-5","0.2796475","0.06410256","13","9","false","9636","26.46153846","13","0","0","0.80185151","false","0","9636","63484","0.0942029"
"309868","2.82157863","0.00164459","0.35441153","0.05747126","89","9","false","71","96.66666667","88","0","0","0.85987857","false","1","71","6687334","0.02548105"
"309869","3.79404262","2.5E-7","0.2635711","0.0","2","10","false","93661","50.5","2","0","0","0.78507364","false","0","93661","1014","0.5"
"309871","2.81730192","0.00452738","0.35494953","0.02332803","165","9","false","2810","49.48466258","164","0","0","0.86020754","false","1","2810","16517028","0.01313748"
"309872","3.17737095","8.353E-5","0.31472561","0.0326087","24","9","false","5774","88.95833333","24","0","0","0.83250993","false","0","5774","352402","0.06332139"
"309874","2.81452581","2.9049E-4","0.35529964","0.58928571","163","9","false","1938","191.73913043","162","0","0","0.86042109","false","1","1938","2823728","0.04980076"
"309875","2.7967437","5.9532E-4","0.35755869","0.52444057","188","9","false","6125","179.15053763","187","0","0","0.86178895","false","1","6125","4460754","0.04528771"
"309877","3.4262455","1.3733E-4","0.29186467","0.02857143","15","8","false","3911","45.73333333","15","0","0","0.81336573","false","0","3911","386850","0.07436744"
"309878","3.39743397","5.62E-6","0.29433979","0.06666667","6","9","false","84280","119.16666667","6","0","0","0.815582","false","0","84280","24678","0.17819549"
"309880","3.02280912","4.5874E-4","0.33081811","0.49392543","155","9","false","51021","154.53548387","155","0","0","0.8443993","false","0","51021","7021882","0.07191042"
"309882","3.0459934","2.0645E-4","0.32830012","0.24541063","46","9","false","22948","91.02173913","46","0","0","0.84261589","false","0","22948","1173014","0.04200289"
"309883","3.27370948","7.924E-5","0.30546388","0.37237237","37","10","false","29966","47.97297297","37","0","0","0.82509927","false","0","29966","370828","0.05219926"
"309885","3.29036615","2.037E-5","0.30391754","0.81052632","20","9","false","5558","82.85","20","0","0","0.82381799","false","0","5558","102224","0.0816568"
